Latitude,Longitude,Location,Company,count
-11.9644224,-76.9936678,Berlin Metropolitan Area,OUTFITTERY,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Adwebmaroc,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Akka Technologies,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,BCG Platinion,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,BOUYGUES CONSTRUCTION IT,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Banque Centrale Populaire - BCP,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Bouygues Telecom,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,CGI,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Confidentiel,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Deloitte,4
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Dial Technologies,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Gemalto (now Thales Digital Identity & Security),1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Institut National Des Postes et Télécommunications,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Institut National des Postes et Télécommunications,2
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Maltem Africa,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Mars,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Mohammed VI Polytechnic University,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,OBytes,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,OUTFITTERY,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Orange,3
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Orange Business Services,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Orange Cyberdefense,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Orange Maroc,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Parallel Wireless,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,PwC,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Societe Generale Corporate and Investment Banking - SGCIB,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Société Générale African Business Services,1
19.0603228,72.83474055233081,Casablanca Metropolitan Area,Tranzway,1
31.1728205,-7.3362482,Morocco,.,1
31.1728205,-7.3362482,Morocco,4D,1
31.1728205,-7.3362482,Morocco,AFD Tech,1
31.1728205,-7.3362482,Morocco,Alcatel-Lucent,1
31.1728205,-7.3362482,Morocco,Atos,1
